,Word,Senses,Glosa,PoS,SynsetPoS
11681,three-cornered,2,a three-cornered race,a,eng-30-00239325-a
11682,trilateral,2,a trilateral figure,a,eng-30-00239847-a
11683,tripartite,1,a tripartite treaty,a,eng-30-00240008-a
11684,three-party,1,a tripartite division,a,eng-30-00240008-a
11685,three-way,1,a three-way playoff,a,eng-30-00240008-a
11686,binaural,1,binaural hearing,a,eng-30-00240417-a
11687,monaural,1,monaural deafness,a,eng-30-00240842-a
11688,black,2,a great people--a black people--...injected new meaning and dignity into the veins of civilization- Martin Luther King Jr.,a,eng-30-00241952-a
11689,African-American,1,Afro-American culture,a,eng-30-00242293-a
11690,Afro-American,1,many black people preferred to be called African-American or Afro-American,a,eng-30-00242293-a
11691,colored,2,National Association for the Advancement of Colored People,a,eng-30-00242575-a
11692,coloured,4,dark-skinned peoples,a,eng-30-00242575-a
11693,negroid,1,negroid features,a,eng-30-00243039-a
11694,white,2,voting patterns within the white population,a,eng-30-00243180-a
11695,blond,1,blond Scandinavians,a,eng-30-00243606-a
11696,blonde,1,a house full of light-haired children,a,eng-30-00243606-a
11697,fair,10,a fair complexion;,a,eng-30-00244054-a
11698,flaxen,1,flaxen locks,a,eng-30-00244199-a
11699,brunet,1,a brunette beauty,a,eng-30-00244503-a
11700,adust,2,of an adust complexion- Sir Walter Scott,a,eng-30-00244820-a
11701,bronzed,1,a young bronzed Apollo,a,eng-30-00244958-a
11702,dark,3,dark eyes,a,eng-30-00245200-a
11703,dark-haired,1,a dark-haired beauty,a,eng-30-00245319-a
11704,dark-skinned,2,a dark-skinned beauty,a,eng-30-00245458-a
11705,dusky,2,gold earrings gleamed against her dusky cheeks,a,eng-30-00245458-a
11706,swart,1,a smile on his swarthy face,a,eng-30-00245458-a
11707,swarthy,1,`swart' is archaic,a,eng-30-00245458-a
11708,nutbrown,1,nutbrown hair,a,eng-30-00245860-a
11709,blotchy,2,blotchy skin,a,eng-30-00246497-a
11710,flyblown,3,a flyblown reputation,a,eng-30-00246623-a
11711,marred,1,the scarred piano bench,a,eng-30-00246727-a
11712,scarred,2,walls marred by graffiti,a,eng-30-00246727-a
11713,unblemished,1,an unblemished record,a,eng-30-00247013-a
11714,unmarred,1,an unblemished complexion,a,eng-30-00247013-a
11715,stainless,1,his unsullied name,a,eng-30-00247247-a
11716,unstained,4,an untarnished reputation,a,eng-30-00247247-a
11717,bloody,1,a bloody nose,a,eng-30-00247439-a
11718,blood-filled,1,the blood-filled centers of arteries and veins,a,eng-30-00247868-a
11719,bloodstained,1,a bloodstained shirt,a,eng-30-00247993-a
11720,gory,1,a gory dagger,a,eng-30-00247993-a
11721,bloodsucking,1,a plague of bloodsucking insects,a,eng-30-00248118-a
11722,bloodthirsty,1,bloody-minded tyrants,a,eng-30-00248251-a
11723,bloody-minded,2,bloodthirsty yells,a,eng-30-00248251-a
11724,sanguinary,2,went after the collaborators with a sanguinary fury that drenched the land with blood-G.W.Johnson,a,eng-30-00248251-a
11725,crimson,2,writes of crimson deeds and barbaric days- Andrea Parke,a,eng-30-00248560-a
11726,red,2,fann'd by Conquest's crimson wing- Thomas Gray,a,eng-30-00248560-a
11727,violent,5,convulsed with red rage- Hudson Strode,a,eng-30-00248560-a
11728,homicidal,1,a homicidal rage,a,eng-30-00248837-a
11729,murderous,1,murderous thugs,a,eng-30-00248837-a
11730,gory,2,this bitter and sanguinary war,a,eng-30-00249104-a
11731,internecine,2,internecine war,a,eng-30-00249303-a
11732,bloodless,2,bloodless surgery,a,eng-30-00249433-a
11733,nonviolent,2,an unbloody transfer of power,a,eng-30-00249576-a
11734,bold,1,bold settlers on some foreign shore,a,eng-30-00249721-a
11735,audacious,1,audacious explorers,a,eng-30-00250119-a
11736,brave,2,fearless reporters and photographers,a,eng-30-00250119-a
11737,dauntless,1,intrepid pioneers,a,eng-30-00250119-a
11738,daredevil,1,a daredevil test pilot having the right stuff,a,eng-30-00250483-a
11739,foolhardy,1,foolhardy enough to try to seize the gun from the hijacker,a,eng-30-00250739-a
11740,heady,3,became the fiercest and most reckless of partisans-Macaulay,a,eng-30-00250739-a
11741,rash,2,a reckless driver,a,eng-30-00250739-a
11742,reckless,1,a rash attempt to climb Mount Everest,a,eng-30-00250739-a
11743,heroic,3,the heroic attack on the beaches of Normandy,a,eng-30-00251134-a
11744,heroical,1,heroic explorers,a,eng-30-00251134-a
11745,nervy,2,the nervy feats of mountaineers,a,eng-30-00251373-a
11746,overreaching,1,vaulting ambition,a,eng-30-00251529-a
11747,overvaliant,1,a foolish overvaliant act,a,eng-30-00251681-a
11748,bashful,1,"I never laughed, being bashful; lowering my head, I looked at the wall- Ezra Pound",a,eng-30-00252130-a
11749,coy,3,"like a wild young colt, very inquisitive but very coy and not to be easily cajoled",a,eng-30-00252310-a
11750,fearful,5,timorous little mouse,a,eng-30-00252498-a
11751,timorous,1,in a timorous tone,a,eng-30-00252498-a
11752,trepid,1,cast fearful glances at the large dog,a,eng-30-00252498-a
11753,bound,1,bound and gagged hostages,a,eng-30-00252954-a
11754,chained,1,enchained demons strained in anger to gnaw on his bones,a,eng-30-00253196-a
11755,enchained,1,prisoners in chains,a,eng-30-00253196-a
11756,furled,1,furled sails bound securely to the spar,a,eng-30-00253469-a
11757,rolled,3,a furled flag,a,eng-30-00253469-a
11758,trussed,1,the guard was found trussed up with his arms and legs securely tied,a,eng-30-00253869-a
11759,tied,1,a trussed chicken,a,eng-30-00253869-a
11760,wired,3,wired bundles of newspapers,a,eng-30-00254046-a
11761,laced,1,snugly laced shoes,a,eng-30-00254516-a
11762,unlaced,1,teenagers slopping around in unlaced sneakers,a,eng-30-00254615-a
11763,tied,3,a neatly tied bundle,a,eng-30-00254746-a
11764,knotted,1,his carefully knotted necktie,a,eng-30-00254880-a
11765,tangled,1,pushed back her tangled hair,a,eng-30-00255057-a
11766,afoul,1,with its sails afoul,a,eng-30-00255308-a
11767,foul,8,a foul anchor,a,eng-30-00255308-a
11768,enmeshed,1,enmeshed in financial difficulties,a,eng-30-00255453-a
11769,entangled,2,toiled through entangled growths of mesquite,a,eng-30-00255582-a
11770,knotty,4,a mass of knotted string,a,eng-30-00255720-a
11771,snarled,1,snarled thread,a,eng-30-00255720-a
11772,matted,1,tried to push through the matted undergrowth,a,eng-30-00255918-a
11773,rootbound,2,shaggy untended lawns of old trees and rootbound scented flowers and shrubs- William Faulkner,a,eng-30-00256042-a
11774,thrown,2,thrown silk is raw silk that has been twisted and doubled into yarn,a,eng-30-00256237-a
11775,bound,3,bound volumes,a,eng-30-00256636-a
11776,brassbound,2,a brassbound campaign chest,a,eng-30-00256883-a
11777,unbound,1,an unbound book,a,eng-30-00257462-a
11778,looseleaf,1,loose-leaf paper,a,eng-30-00257579-a
11779,bordered,1,black-bordered handkerchief,a,eng-30-00257742-a
11780,boxed,1,boxed sections of the report,a,eng-30-00258090-a
11781,edged,1,a black-edged card,a,eng-30-00258411-a
11782,fringed,1,a large suburban community...fringed by an industrial area,a,eng-30-00258587-a
11783,lined,1,tree lined streets,a,eng-30-00258797-a
11784,propertyless,1,party of the propertyless proletariat- G.B.Shaw,a,eng-30-00260100-a
11785,bourgeois,2,a bourgeois mentality,a,eng-30-00260780-a
11786,quality,2,people of quality,a,eng-30-00261486-a
11787,wellborn,1,a rich and wellborn husband,a,eng-30-00262008-a
11788,brave,1,Familiarity with danger makes a brave man braver but less daring- Herman Melville,a,eng-30-00262792-a
11789,courageous,1,a frank courageous heart...triumphed over pain- William Wordsworth,a,eng-30-00262792-a
11790,desperate,4,made a last desperate attempt to reach the climber,a,eng-30-00263463-a
11791,heroic,5,the desperate gallantry of our naval task forces marked the turning point in the Pacific war- G.C.Marshall,a,eng-30-00263463-a
11792,gallant,1,a gallant warrior,a,eng-30-00263840-a
11793,stalwart,3,a stalwart knight,a,eng-30-00264262-a
11794,stouthearted,1,a stouthearted fellow who had an active career in the army,a,eng-30-00264262-a
11795,undaunted,2,undaunted in the face of death,a,eng-30-00264459-a
11796,valiant,1,a valiant attempt to prevent the hijack,a,eng-30-00264570-a
11797,valorous,1,a valiant soldier,a,eng-30-00264570-a
11798,cowardly,1,"cowardly dogs, ye will not aid me then- P.B.Shelley",a,eng-30-00264776-a
11799,craven,1,the craven fellow turned and ran,a,eng-30-00265496-a
11800,recreant,2,a craven proposal to raise the white flag,a,eng-30-00265496-a
11801,dastard,1,the unprovoked and dastardly attack by Japan on...December 7th- F.D. Roosevelt,a,eng-30-00265765-a
11802,faint,6,faint heart ne'er won fair lady,a,eng-30-00265989-a
11803,gutsy,1,you have to admire her; it was a gutsy thing to do,a,eng-30-00266634-a
11804,plucky,1,the gutsy...intensity of her musical involvement-Judith Crist,a,eng-30-00266634-a
11805,gutless,1,he was a yellow gutless worm,a,eng-30-00266985-a
11806,breathing,1,the boy was disappointed to find only skeletons instead of living breathing dinosaurs,a,eng-30-00267452-a
11807,eupneic,1,the heavy-breathing person on the telephone,a,eng-30-00267452-a
11808,breathless,1,breathless at thought of what I had done,a,eng-30-00267871-a
11809,dyspneic,1,breathless from running,a,eng-30-00267871-a
11810,dyspnoeic,1,followed the match with breathless interest,a,eng-30-00267871-a
11811,asphyxiating,1,asphyxiating gasses,a,eng-30-00268273-a
11812,smothering,1,the choking June dust,a,eng-30-00268383-a
11813,suffocating,1,the smothering soft voices,a,eng-30-00268383-a
11814,suffocative,1,smothering heat,a,eng-30-00268383-a
11815,crystalline,1,granite is crystalline,a,eng-30-00268869-a
11816,crystallized,2,quartz crystal is perfectly crystallized,a,eng-30-00269063-a
11817,polycrystalline,1,polycrystalline metals,a,eng-30-00269364-a
11818,amorphous,3,an amorphous mineral,a,eng-30-00269580-a
11819,uncrystallized,2,amorphous structure,a,eng-30-00269580-a
11820,landed,1,the landed gentry,a,eng-30-00269758-a
11821,landless,1,the landless peasantry,a,eng-30-00269894-a
11822,light,6,a room that is light when the shutters are open,a,eng-30-00269989-a
11823,ablaze,4,streets ablaze with lighted Christmas trees,a,eng-30-00270496-a
11824,inflamed,2,the inflamed clouds at sunset,a,eng-30-00270496-a
11825,reddened,2,reddened faces around the campfire,a,eng-30-00270496-a
11826,bioluminescent,1,fireflies are bioluminescent,a,eng-30-00270856-a
11827,bright,4,the room was bright and airy,a,eng-30-00271022-a
11828,floodlit,1,the floodlit courtyard,a,eng-30-00271288-a
11829,illuminated,1,illuminated advertising,a,eng-30-00271580-a
11830,lighted,2,looked up at the lighted windows,a,eng-30-00271580-a
11831,lit,1,a brightly lit room,a,eng-30-00271580-a
11832,well-lighted,1,a well-lighted stairwell,a,eng-30-00271580-a
11833,incandescent,1,an incandescent bulb,a,eng-30-00271813-a
11834,lamplit,1,our lamplit mountain retreat,a,eng-30-00271966-a
11835,lighting-up,1,it's lighting-up time,a,eng-30-00272069-a
11836,livid,2,livid lightning streaked the sky,a,eng-30-00272172-a
11837,phosphorescent,1,the phosphorescent glow of decaying wood,a,eng-30-00272555-a
11838,sunlit,1,the sunlit slopes of the canyon,a,eng-30-00272771-a
11839,sunstruck,1,violet valleys and the sunstruck ridges- Wallace Stegner,a,eng-30-00272771-a
11840,white,12,white nights,a,eng-30-00272950-a
11841,dark,1,sitting in a dark corner,a,eng-30-00273082-a
11842,Acheronian,1,in the depths of an Acheronian forest,a,eng-30-00273652-a
11843,Acherontic,1,upon those roseate lips a Stygian hue-Wordsworth,a,eng-30-00273652-a
11844,aphotic,1,the aphotic depths of the sea where no photosynthesis occurs,a,eng-30-00273901-a
11845,black,8,a black moonless night,a,eng-30-00274068-a
11846,pitch-black,1,through the pitch-black woods,a,eng-30-00274068-a
11847,pitch-dark,1,it was pitch-dark in the cellar,a,eng-30-00274068-a
11848,Cimmerian,1,the Cimmerian gloom...a darkness that could be felt-Norman Douglas,a,eng-30-00274373-a
11849,crepuscular,1,the evening's crepuscular charm,a,eng-30-00274551-a
11850,darkened,2,a darkened house,a,eng-30-00274698-a
11851,darkening,1,the darkening sky,a,eng-30-00274833-a
11852,darkling,2,a darkling journey,a,eng-30-00274971-a
11853,darkling,1,a darkling glance,a,eng-30-00275106-a
11854,dim,1,a dim light beside the bed,a,eng-30-00275290-a
11855,subdued,5,subdued lights and soft music,a,eng-30-00275290-a
11856,dusky,1,The dusky night rides down the sky/And ushers in the morn-Henry Fielding,a,eng-30-00275486-a
11857,twilight,1,the twilight glow of the sky,a,eng-30-00275486-a
11858,twilit,1,a boat on a twilit river,a,eng-30-00275486-a
11859,glooming,1,the gloomy forest,a,eng-30-00275764-a
11860,gloomy,1,the glooming interior of an old inn,a,eng-30-00275764-a
11861,gloomful,1,`gloomful' is archaic,a,eng-30-00275764-a
11862,lightless,2,came up the lightless stairs,a,eng-30-00275985-a
11863,unilluminated,1,the unilluminated side of Mars,a,eng-30-00275985-a
11864,unlighted,2,through dark unlighted (or unlit) streets,a,eng-30-00275985-a
11865,semidark,1,semidark room,a,eng-30-00276226-a
11866,tenebrous,1,a tenebrous cave,a,eng-30-00276355-a
11867,shaded,1,shaded avenues,a,eng-30-00276472-a
11868,murky,2,a murky dungeon,a,eng-30-00276689-a
11869,mirky,2,murky rooms lit by smoke-blackened lamps,a,eng-30-00276689-a
11870,shady,4,the shady side of the street,a,eng-30-00276862-a
11871,shadowed,1,the surface of the pond is dark and shadowed,a,eng-30-00276862-a
11872,shadowy,1,we sat on rocks in a shadowy cove,a,eng-30-00276862-a
11873,umbrageous,1,cool umbrageous woodlands,a,eng-30-00276862-a
11874,unshaded,2,an unshaded meadow,a,eng-30-00277183-a
11875,unshadowed,1,on the rough sea ice you may on an unshadowed day...fall over a chunk of ice that is kneehigh- Vilhjalmur Stefansson,a,eng-30-00277339-a
11876,shaded,2,the shaded areas of the face seemed to recede,a,eng-30-00277550-a
11877,unshaded,1,unshaded drawings resembling cartoons,a,eng-30-00277867-a
11878,moonlit,1,the moonlit landscape,a,eng-30-00278006-a
11879,moonless,1,the dark moonless night,a,eng-30-00278131-a
11880,unbridgeable,1,a wide unbridgeable river,a,eng-30-00278418-a
11881,bright,1,the sun was bright and hot,a,eng-30-00278551-a
11882,agleam,1,from the plane we saw the city below agleam with lights,a,eng-30-00279092-a
11883,gleaming,1,the gleaming brass on the altar,a,eng-30-00279092-a
11884,nitid,1,Nereids beneath the nitid moon,a,eng-30-00279092-a
11885,aglow,1,a house aglow with lights,a,eng-30-00279332-a
11886,lambent,1,glowing embers,a,eng-30-00279332-a
11887,lucent,1,lambent tongues of flame,a,eng-30-00279332-a
11888,luminous,1,the lucent moon,a,eng-30-00279332-a
11889,aglitter,1,bugle beads all aglitter,a,eng-30-00279618-a
11890,coruscant,1,glinting eyes,a,eng-30-00279618-a
11891,fulgid,1,glinting water,a,eng-30-00279618-a
11892,glinting,1,his glittering eyes were cold and malevolent,a,eng-30-00279618-a
11893,glistering,1,shop window full of glittering Christmas trees,a,eng-30-00279618-a
11894,glittering,1,glittery costume jewelry,a,eng-30-00279618-a
11895,glittery,1,scintillant mica,a,eng-30-00279618-a
11896,scintillant,1,the scintillating stars,a,eng-30-00279618-a
11897,scintillating,3,a dress with sparkly sequins,a,eng-30-00279618-a
11898,sparkly,2,`glistering' is an archaic term,a,eng-30-00279618-a
11899,beady,1,bright beady eyes,a,eng-30-00280245-a
11900,beadlike,1,black buttony eyes,a,eng-30-00280245-a
11901,beaming,3,the beaming sun,a,eng-30-00280463-a
11902,beamy,2,the effulgent daffodils,a,eng-30-00280463-a
11903,effulgent,1,a radiant sunrise,a,eng-30-00280463-a
11904,radiant,1,a refulgent sunset,a,eng-30-00280463-a
11905,blazing,1,the blazing sun,a,eng-30-00280844-a
11906,blinding,1,blinding headlights,a,eng-30-00280844-a
11907,dazzling,2,dazzling snow,a,eng-30-00280844-a
11908,fulgent,1,fulgent patterns of sunlight,a,eng-30-00280844-a
11909,glaring,1,the glaring sun,a,eng-30-00280844-a
11910,brilliant,5,a brilliant star,a,eng-30-00281173-a
11911,ardent,3,from rank to rank she darts her ardent eyes- Alexander Pope,a,eng-30-00281342-a
11912,glimmery,1,glimmery candlelight,a,eng-30-00281527-a
11913,glistening,1,glistening bodies of swimmers,a,eng-30-00281657-a
11914,glossy,2,the horse's glossy coat,a,eng-30-00281657-a
11915,lustrous,3,lustrous auburn hair,a,eng-30-00281657-a
11916,sheeny,1,saw the moon like a shiny dime on a deep blue velvet carpet,a,eng-30-00281657-a
11917,shiny,1,shining white enamel,a,eng-30-00281657-a
11918,iridescent,2,an iridescent oil slick,a,eng-30-00282020-a
11919,nacreous,2,nacreous (or pearlescent) clouds looking like mother-of-pearl,a,eng-30-00282020-a
11920,opalescent,1,a milky opalescent (or opaline) luster,a,eng-30-00282020-a
11921,lurid,3,a lurid sunset,a,eng-30-00282389-a
11922,noctilucent,1,the noctilucent eyes of a cat,a,eng-30-00282557-a
11923,satiny,1,glossy auburn hair,a,eng-30-00282675-a
11924,sleek,3,satiny gardenia petals,a,eng-30-00282675-a
11925,silken,1,sleek black fur,a,eng-30-00282675-a
11926,silky,1,silken eyelashes,a,eng-30-00282675-a
11927,silklike,1,silky skin,a,eng-30-00282675-a
11928,slick,3,a silklike fabric,a,eng-30-00282675-a
11929,shimmery,1,the shimmery surface of the lake,a,eng-30-00283167-a
11930,silver,2,a land of silver (or silvern) rivers where the salmon leap,a,eng-30-00283327-a
11931,silvern,2,repeated scrubbings have given the wood a silvery sheen,a,eng-30-00283327-a
11932,twinkling,1,twinkling stars,a,eng-30-00283580-a
11933,dull,2,a dull glow,a,eng-30-00283703-a
11934,flat,14,flat wall paint,a,eng-30-00283972-a
11935,mat,1,a photograph with a matte finish,a,eng-30-00283972-a
11936,lackluster,2,staring with lackluster eyes,a,eng-30-00284194-a
11937,lacklustre,2,lusterless hair,a,eng-30-00284194-a
11938,soft,19,the moon cast soft shadows,a,eng-30-00284400-a
11939,subdued,4,soft pastel colors,a,eng-30-00284400-a
11940,dimmed,1,the dimmed houselights brought a hush of anticipation,a,eng-30-00284575-a
11941,dim,3,dimmed headlights,a,eng-30-00284575-a
11942,low-beam,1,following with low-beam headlights,a,eng-30-00284816-a
11943,undimmed,1,undimmed headlights,a,eng-30-00284930-a
11944,bright,7,surprisingly the curtain started to rise while the houselights were still undimmed,a,eng-30-00284930-a
11945,prejudiced,2,a prejudiced judge,a,eng-30-00285148-a
11946,jaundiced,2,looked with a jaundiced eye on the growth of regimentation,a,eng-30-00285506-a
11947,loaded,3,a loaded question,a,eng-30-00285725-a
11948,unprejudiced,1,an unprejudiced appraisal of the pros and cons,a,eng-30-00286214-a
11949,impartial,2,the impartial eye of a scientist,a,eng-30-00286214-a
11950,broad-minded,2,a judge who is broad-minded but even-handed,a,eng-30-00286578-a
11951,broad,8,a broad political stance,a,eng-30-00286837-a
11952,large-minded,1,generous and broad sympathies,a,eng-30-00286837-a
11953,liberal,1,a liberal newspaper,a,eng-30-00286837-a
11954,tolerant,3,tolerant of his opponent's opinions,a,eng-30-00286837-a
11955,catholic,2,catholic in one's tastes,a,eng-30-00287128-a
11956,open-minded,1,an open-minded curiosity,a,eng-30-00287498-a
11957,narrow-minded,2,a brilliant but narrow-minded judge,a,eng-30-00287640-a
11958,narrow,3,narrow opinions,a,eng-30-00287640-a
11959,petty,3,petty little comments,a,eng-30-00288498-a
11960,small-minded,1,disgusted with their small-minded pettiness,a,eng-30-00288498-a
11961,reconstructed,1,a reconstructed feminist,a,eng-30-00288685-a
11962,unreconstructed,1,peasants are still unreconstructed small capitalists at heart,a,eng-30-00288809-a
11963,broken,1,a broken mirror,a,eng-30-00289082-a
11964,unbroken,5,fortunately the other lens is unbroken,a,eng-30-00289365-a
11965,broken,4,broken (or unkept) promises,a,eng-30-00289594-a
11966,unkept,1,broken contracts,a,eng-30-00289594-a
11967,unbroken,4,unbroken promises,a,eng-30-00289799-a
11968,kept,1,promises kept,a,eng-30-00289799-a
11969,broken,2,broken lines of defense,a,eng-30-00289983-a
11970,broken-field,1,broken-field running,a,eng-30-00290337-a
11971,dashed,1,sign on the dotted line,a,eng-30-00290483-a
11972,fitful,2,fitful (or interrupted) sleep,a,eng-30-00290593-a
11973,interrupted,2,off-and-on static,a,eng-30-00290593-a
11974,halting,2,uttered a few halting words of sorrow,a,eng-30-00290784-a
11975,unbroken,1,cars in an unbroken procession,a,eng-30-00290923-a
11976,solid,5,a solid line across the page,a,eng-30-00291181-a
11977,uninterrupted,1,a convalescent needs uninterrupted sleep,a,eng-30-00291338-a
11978,brotherly,1,brotherly feelings,a,eng-30-00291471-a
11979,brotherlike,1,close fraternal ties,a,eng-30-00291471-a
11980,sisterly,1,sisterly kindness,a,eng-30-00291665-a
11981,sisterlike,1,sororal concern,a,eng-30-00291665-a
11982,exergonic,1,diffusion is an exergonic process,a,eng-30-00291848-a
11983,endergonic,1,photosynthesis is an endergonic process,a,eng-30-00292024-a
11984,fraternal,2,fraternal twins are biovular,a,eng-30-00292298-a
11985,identical,3,identical twins are monovular,a,eng-30-00292448-a
11986,buried,1,the hastily buried corpses,a,eng-30-00292611-a
11987,belowground,2,most of his friends are now belowground,a,eng-30-00292750-a
11988,busy,1,busy with her work,a,eng-30-00292937-a
11989,at_work,1,had been at work for over an hour before her boss arrived,a,eng-30-00293248-a
11990,drudging,1,drudging peasants,a,eng-30-00293376-a
11991,laboring,1,the bent backs of laboring slaves picking cotton,a,eng-30-00293376-a
11992,labouring,1,toiling coal miners in the black deeps,a,eng-30-00293376-a
11993,engaged,1,she keeps herself fully occupied with volunteer activities,a,eng-30-00293611-a
11994,occupied,4,deeply engaged in conversation,a,eng-30-00293611-a
11995,tied_up,1,she's tied up at the moment and can't see you,a,eng-30-00293882-a
11996,up_to,1,what have you been up to?,a,eng-30-00294056-a
11997,idle,1,an idle laborer,a,eng-30-00294175-a
11998,faineant,1,faineant kings under whose rule the country languished,a,eng-30-00294579-a
11999,indolent,1,an indolent hanger-on,a,eng-30-00294579-a
12000,lazy,2,too lazy to wash the dishes,a,eng-30-00294579-a
12001,otiose,3,shiftless idle youth,a,eng-30-00294579-a
12002,slothful,1,slothful employees,a,eng-30-00294579-a
12003,work-shy,1,the unemployed are not necessarily work-shy,a,eng-30-00294579-a
12004,lackadaisical,2,she was annoyingly lackadaisical and impractical,a,eng-30-00295011-a
12005,leisured,1,he writes in his leisure hours,a,eng-30-00295235-a
12006,unengaged,1,the cancellation left her unengaged a good part of the afternoon,a,eng-30-00295507-a
12007,bony,3,a bony shad fillet,a,eng-30-00295657-a
12008,boney,1,her bony wrist,a,eng-30-00295657-a
12009,bone,1,a bony substance,a,eng-30-00295924-a
12010,boned,2,his lanky long-boned body,a,eng-30-00296061-a
12011,bonelike,1,a bonelike tumor,a,eng-30-00296186-a
12012,boneless,1,jellyfish are boneless,a,eng-30-00296354-a
12013,boned,1,a boneless rib roast,a,eng-30-00296482-a
12014,deboned,1,a boned (or deboned) fish,a,eng-30-00296482-a
12015,button-down,2,Brooks Brothers button-down shirts,a,eng-30-00296935-a
12016,unbuttoned,1,the wind picked up the hem of her unbuttoned coat,a,eng-30-00297097-a
12017,open-collared,1,dressed casually in shorts and an open-collared shirt,a,eng-30-00297250-a
12018,socialistic,1,socialistic government,a,eng-30-00298041-a
12019,collective,3,collective farms,a,eng-30-00298293-a
12020,cacophonous,1,as cacophonous as a henyard- John McCarten,a,eng-30-00298767-a
12021,croaky,1,a guttural voice,a,eng-30-00299313-a
12022,guttural,1,acres of guttural frogs,a,eng-30-00299313-a
12023,grating,1,a gravelly voice,a,eng-30-00299476-a
12024,gruff,2,gruff voices,a,eng-30-00299690-a
12025,hoarse,1,the dog's gruff barking,a,eng-30-00299690-a
12026,husky,2,hoarse cries,a,eng-30-00299690-a
12027,jangling,1,cowboys with jangling spurs,a,eng-30-00300007-a
12028,jarring,1,the jarring noise of the iron gate scraping on the sidewalk,a,eng-30-00300196-a
12029,rending,1,the tree split with a great ripping sound,a,eng-30-00300469-a
12030,ripping,1,heard a rending roar as the crowd surged forward,a,eng-30-00300469-a
12031,euphonious,1,a euphonious trill of silver laughter,a,eng-30-00300738-a
12032,golden,5,a golden voice,a,eng-30-00300943-a
12033,silvern,1,a soft silvern voice,a,eng-30-00301032-a
12034,silvery,1,singing in her silvery tones,a,eng-30-00301032-a
12035,calculable,1,a calculable risk,a,eng-30-00301187-a
12036,computable,1,a calculable risk,a,eng-30-00301432-a
12037,estimable,3,computable odds,a,eng-30-00301432-a
12038,countable,1,countable sins,a,eng-30-00301589-a
12039,denumerable,1,numerable assets,a,eng-30-00301589-a
12040,countless,1,incalculable riches,a,eng-30-00301951-a
12041,infinite,3,countless hours,a,eng-30-00301951-a
12042,innumerable,1,an infinite number of reasons,a,eng-30-00301951-a
12043,innumerous,1,innumerable difficulties,a,eng-30-00301951-a
12044,multitudinous,1,the multitudinous seas,a,eng-30-00301951-a
12045,myriad,1,myriad stars,a,eng-30-00301951-a
12046,numberless,1,untold thousands,a,eng-30-00301951-a
12047,incomputable,1,of incalculable value,a,eng-30-00302436-a
12048,inestimable,1,an incomputable amount,a,eng-30-00302436-a
12049,immeasurable,2,jewels of inestimable value,a,eng-30-00302436-a
12050,calm,2,calm seas,a,eng-30-00302761-a
12051,placid,1,a ribbon of sand between the angry sea and the placid bay,a,eng-30-00302951-a
12052,quiet,5,the quiet waters of a lagoon,a,eng-30-00302951-a
12053,still,3,a lake of tranquil blue water reflecting a tranquil blue sky,a,eng-30-00302951-a
12054,tranquil,1,a smooth channel crossing,a,eng-30-00302951-a
12055,smooth,8,scarcely a ripple on the still water,a,eng-30-00302951-a
12056,unruffled,2,unruffled water,a,eng-30-00302951-a
12057,settled,4,a period of settled weather,a,eng-30-00303480-a
12058,windless,1,he prefers windless days for playing golf,a,eng-30-00303579-a
12059,stormy,1,a stormy day,a,eng-30-00303727-a
12060,angry,2,angry clouds on the horizon,a,eng-30-00304144-a
12061,furious,3,furious winds,a,eng-30-00304144-a
12062,raging,3,the raging sea,a,eng-30-00304144-a
12063,billowy,1,billowy storm clouds,a,eng-30-00304455-a
12064,billowing,1,the restless billowing sea,a,eng-30-00304455-a
12065,surging,1,surging waves,a,eng-30-00304455-a
12066,blustering,1,blustering (or blusterous) winds of Patagonia,a,eng-30-00304670-a
12067,blusterous,1,a cold blustery day,a,eng-30-00304670-a
12068,blustery,1,a gusty storm with strong sudden rushes of wind,a,eng-30-00304670-a
12069,boisterous,3,boisterous winds and waves,a,eng-30-00304949-a
12070,fierce,4,the fierce thunders roar me their music- Ezra Pound,a,eng-30-00304949-a
12071,rough,5,rough weather,a,eng-30-00304949-a
12072,blowy,1,blowy weather,a,eng-30-00305225-a
12073,breezy,2,a windy bluff,a,eng-30-00305225-a
12074,choppy,2,choppy seas,a,eng-30-00305464-a
12075,dirty,12,there's dirty weather in the offing,a,eng-30-00305590-a
12076,gusty,1,puffy off-shore winds,a,eng-30-00305700-a
12077,puffy,3,gusty winds,a,eng-30-00305700-a
12078,squally,2,a grey squally morning,a,eng-30-00305882-a
12079,camphorated,1,camphorated oil,a,eng-30-00306131-a
12080,capable,1,capable of winning,a,eng-30-00306314-a
12081,able,3,able to learn,a,eng-30-00306663-a
12082,confident,3,most surefooted of the statesmen who dealt with the depression- Walter Lippman,a,eng-30-00306909-a
12083,surefooted,2,demonstrates a surefooted storytelling talent- Michiko Kakutani,a,eng-30-00306909-a
12084,resourceful,1,someone who is resourceful is capable of dealing with difficult situations,a,eng-30-00307182-a
12085,incapable,1,incapable of carrying a tune,a,eng-30-00307474-a
12086,unable,2,dyslexics are unable to learn to read adequately,a,eng-30-00307794-a
12087,capable,3,no one believed her capable of murder,a,eng-30-00308015-a
12088,incapable,3,simply incapable of lying,a,eng-30-00308188-a
12089,cared-for,1,well-cared-for children,a,eng-30-00308355-a
12090,neglected,2,a neglected child,a,eng-30-00308720-a
